Dataset,Num Nodes,Num Edges,Avg Degree,Max Degree,Nodes with Degree > 1,Clustering Coef (avg),Triangles,Connected Components,Largest Component Size,Density,Avg Shortest Path,Diameter,Edge Homophily (Label-based),Avg Node Homophily (Feature-based),Avg Betweenness,Avg PageRank
Cora,2708,5278,3.8980797636632203,168,2223,0.24067329850193736,1630,78,2485,0.0014399999126942077,6.310998681298742,19,0.8099658961727927,0.25962695479393005,0.0016527620073254691,0.00036927621861152144
Chameleon,2277,31421,27.598594642072904,732,2168,0.48135057608791065,343066,1,2277,0.01212592031725523,3.5594016114379836,11,0.23500734051688318,0.04231538251042366,0.0011250116973353771,0.0004391743522178304
