date,dataset_name,seed,K,model,attack_model,budget,misclassification_rate,homophily
2025-08-21 14:44:08.188163,Cora,33,0,h2gcn,metattack,253,0.1911468812877264,0.7801805189921023
2025-08-21 14:45:36.498512,Cora,33,400,h2gcn,metattack,273,0.20724346076458755,0.7216997561825148
2025-08-21 14:47:13.569208,Cora,33,500,h2gcn,metattack,298,0.25804828973843064,0.6635245246844543
2025-08-21 14:49:00.219233,Cora,33,600,h2gcn,metattack,328,0.23792756539235416,0.605985762022374
2025-08-21 14:50:58.363381,Cora,33,700,h2gcn,metattack,363,0.2359154929577465,0.5523897058823529
2025-08-21 14:53:09.727613,Cora,33,800,h2gcn,metattack,403,0.2409456740442656,0.49905190803507943
2025-08-21 14:55:37.410752,Cora,33,1000,h2gcn,metattack,453,0.2816901408450704,0.43509362507889754
2025-08-21 14:58:28.440257,Cora,33,1400,h2gcn,metattack,523,0.2334004024144869,0.37349836184929014
2025-08-21 15:01:50.373041,Cora,33,1900,h2gcn,metattack,618,0.20824949698189132,0.3222299868002174
2025-08-21 15:06:02.267838,Cora,33,3000,h2gcn,metattack,768,0.21327967806841042,0.25649248569452304
2025-08-21 15:11:36.332342,Cora,33,5000,h2gcn,metattack,1018,0.16146881287726356,0.19566136075503593
2025-08-21 15:13:01.715342,Cora,42,0,h2gcn,metattack,253,0.18460764587525147,0.7748966553927095
2025-08-21 15:14:30.481467,Cora,42,400,h2gcn,metattack,273,0.22434607645875249,0.7189132706374086
2025-08-21 15:16:07.256217,Cora,42,500,h2gcn,metattack,298,0.2424547283702213,0.6614009893090793
2025-08-21 15:17:53.737651,Cora,42,600,h2gcn,metattack,328,0.2193158953722334,0.6047321817390042
2025-08-21 15:19:52.120639,Cora,42,700,h2gcn,metattack,363,0.22484909456740443,0.5536559705418201
2025-08-21 15:22:03.580584,Cora,42,800,h2gcn,metattack,403,0.24295774647887325,0.5041518386714117
2025-08-21 15:24:31.216550,Cora,42,1000,h2gcn,metattack,453,0.22384305835010065,0.4504114792150243
2025-08-21 15:27:21.415301,Cora,42,1400,h2gcn,metattack,523,0.21126760563380287,0.39216226138032306
2025-08-21 15:30:43.433822,Cora,42,1900,h2gcn,metattack,618,0.20321931589537223,0.3365362081087415
2025-08-21 15:34:54.443712,Cora,42,3000,h2gcn,metattack,768,0.1770623742454729,0.268489862944483
2025-08-21 15:40:27.714670,Cora,42,5000,h2gcn,metattack,1018,0.16348088531187122,0.19827221935302128
2025-08-21 15:41:53.169857,Cora,56,0,h2gcn,metattack,253,0.18963782696177067,0.7730176625328824
2025-08-21 15:43:21.827055,Cora,56,400,h2gcn,metattack,273,0.22736418511066403,0.7157784743991641
2025-08-21 15:44:58.617038,Cora,56,500,h2gcn,metattack,298,0.2334004024144869,0.6603351955307263
2025-08-21 15:46:45.012396,Cora,56,600,h2gcn,metattack,328,0.24798792756539234,0.6050224996371026
2025-08-21 15:48:43.221576,Cora,56,700,h2gcn,metattack,363,0.25855130784708247,0.5490273396424816
2025-08-21 15:50:54.371558,Cora,56,800,h2gcn,metattack,403,0.2424547283702213,0.5042684372776856
2025-08-21 15:53:21.801115,Cora,56,1000,h2gcn,metattack,453,0.289738430583501,0.43569774784255944
2025-08-21 15:56:12.231945,Cora,56,1400,h2gcn,metattack,523,0.21327967806841042,0.3953702002572111
