,date,dataset_name,seed,K,model,attack_model,budget,misclassification_rate,homophily
47,2025-08-21 14:49:00.219233,Cora,33,600,h2gcn,metattack,0.05,0.2379275653923541,0.605985762022374
48,2025-08-21 14:50:58.363381,Cora,33,700,h2gcn,metattack,0.05,0.2359154929577465,0.5523897058823529
49,2025-08-21 14:53:09.727613,Cora,33,800,h2gcn,metattack,0.05,0.2409456740442656,0.4990519080350794
50,2025-08-21 14:55:37.410752,Cora,33,1000,h2gcn,metattack,0.05,0.2816901408450704,0.4350936250788975
51,2025-08-21 14:58:28.440257,Cora,33,1400,h2gcn,metattack,0.05,0.2334004024144869,0.3734983618492901
52,2025-08-21 15:01:50.373041,Cora,33,1900,h2gcn,metattack,0.05,0.2082494969818913,0.3222299868002174
53,2025-08-21 15:06:02.267838,Cora,33,3000,h2gcn,metattack,0.05,0.2132796780684104,0.256492485694523
54,2025-08-21 15:11:36.332342,Cora,33,5000,h2gcn,metattack,0.05,0.1614688128772635,0.1956613607550359
55,2025-08-28 11:05:38.428482,Cora,33,0,h2gcn,clean,0,0.17555331991951706,0.8041033734464391
56,2025-08-28 11:05:38.590489,Cora,33,400,h2gcn,clean,0,0.1926559356136821,0.7452916438105687
57,2025-08-28 11:05:38.760431,Cora,33,500,h2gcn,clean,0,0.19869215291750508,0.6828614508292846
58,2025-08-28 11:05:38.980473,Cora,33,600,h2gcn,clean,0,0.20724346076458755,0.6204901811539048
59,2025-08-28 11:05:39.170388,Cora,33,700,h2gcn,clean,0,0.21227364185110664,0.560737377906177
60,2025-08-28 11:05:39.430256,Cora,33,800,h2gcn,clean,0,0.21478873239436624,0.5051431404139298
61,2025-08-28 11:05:39.669355,Cora,33,1000,h2gcn,clean,0,0.18008048289738432,0.44944315801080603
62,2025-08-28 11:05:40.014304,Cora,33,1400,h2gcn,clean,0,0.18410462776659964,0.3893399560607508
63,2025-08-28 11:05:40.299848,Cora,33,1900,h2gcn,clean,0,0.1554325955734407,0.3295335111973482
64,2025-08-28 11:05:40.669081,Cora,33,3000,h2gcn,clean,0,0.09859154929577463,0.265209187325135
65,2025-08-28 11:05:41.128696,Cora,33,5000,h2gcn,clean,0,0.07042253521126762,0.20010800726594336
